gene_id	gene_type	gene_name
ENSG00000204362	lincRNA	AL590644.1
ENSG00000282843	lincRNA	AL590644.3
ENSG00000227751	antisense	AC004824.1
ENSG00000236648	lincRNA	AL136529.1
ENSG00000284653	lincRNA	AL357509.1
ENSG00000261781	lincRNA	LINC01654
ENSG00000280222	TEC	AL365209.1
ENSG00000230035	antisense	IGSF21-AS1
ENSG00000225387	lincRNA	AL591896.1
ENSG00000272084	3prime_overlapping_ncRNA	AL137127.1
ENSG00000230424	antisense	AL035413.1
ENSG00000235185	antisense	AL031727.2
ENSG00000235434	antisense	AL391883.1
ENSG00000227066	lincRNA	Z98257.1
ENSG00000225986	antisense	UBXN10-AS1
ENSG00000228105	lincRNA	LINC01757
ENSG00000284710	lincRNA	Z98257.2
ENSG00000226664	antisense	AL020998.1
ENSG00000236963	lincRNA	LINC01141
ENSG00000226487	lincRNA	AL139254.1
ENSG00000284641	lincRNA	AL139254.2
ENSG00000284743	lincRNA	AL139254.3
ENSG00000117242	antisense	PINK1-AS
ENSG00000233069	antisense	AL663074.1
ENSG00000236936	antisense	AL031005.1
ENSG00000231105	antisense	AL031728.1
ENSG00000236009	lincRNA	AL592309.2
ENSG00000233431	antisense	LINC02596
ENSG00000285959	processed_transcript	AL590556.3
ENSG00000228397	lincRNA	LINC01635
ENSG00000218510	processed_transcript	LINC00339
ENSG00000285752	lincRNA	AL031281.3
ENSG00000285873	bidirectional_promoter_lncRNA	AL445253.1
ENSG00000279625	TEC	AL591122.1
ENSG00000225952	antisense	AL512444.1
ENSG00000240553	antisense	AL031428.1
ENSG00000261326	lincRNA	LINC01355
ENSG00000284726	lincRNA	AL109936.6
ENSG00000249087	antisense	ZNF436-AS1
ENSG00000271420	lincRNA	AL109936.2
ENSG00000235052	lincRNA	AL021154.1
ENSG00000285802	lincRNA	AL450043.1
ENSG00000197880	lincRNA	MDS2
ENSG00000236810	antisense	ELOA-AS1
ENSG00000232557	antisense	AL590609.3
ENSG00000225315	antisense	AL591178.1
ENSG00000230703	antisense	AL591178.2
ENSG00000230023	lincRNA	AL590683.1
ENSG00000232298	antisense	AL138902.1
ENSG00000264443	lincRNA	AL445686.2
ENSG00000284699	lincRNA	AL445648.1
ENSG00000229162	antisense	AL445471.1
ENSG00000261025	lincRNA	AL445471.2
ENSG00000285823	lincRNA	AL050344.2
ENSG00000233755	lincRNA	AL050344.1
ENSG00000231953	antisense	AL031432.1
ENSG00000284602	bidirectional_promoter_lncRNA	AL031432.4
ENSG00000284657	lincRNA	AL031432.5
ENSG00000272432	lincRNA	AL031432.3
ENSG00000225643	lincRNA	AL606491.1
ENSG00000233478	antisense	AL031280.1
ENSG00000228172	antisense	AL020996.1
ENSG00000272478	antisense	AL020996.3
ENSG00000236528	antisense	AL033528.2
ENSG00000284309	bidirectional_promoter_lncRNA	AL391650.2
ENSG00000225891	antisense	AL513365.2
ENSG00000260063	antisense	AL512408.1
ENSG00000226698	antisense	AL034380.1
ENSG00000224311	antisense	AL590640.1
ENSG00000241169	lincRNA	FO393419.2
ENSG00000237429	antisense	BX293535.1
ENSG00000233975	lincRNA	LINC02574
ENSG00000225886	antisense	AL445490.1
ENSG00000227050	antisense	AL512288.1
ENSG00000270605	antisense	AL353622.1
ENSG00000271398	lincRNA	AL353622.2
ENSG00000242125	processed_transcript	SNHG3
ENSG00000279443	TEC	AL513497.1
ENSG00000197989	antisense	SNHG12
ENSG00000229388	lincRNA	LINC01715
ENSG00000270103	lincRNA	AL360012.1
ENSG00000233427	antisense	AL009181.1
ENSG00000225750	lincRNA	AL357500.1
ENSG00000237934	antisense	AL590729.1
ENSG00000230523	lincRNA	LINC01756
ENSG00000228176	lincRNA	AC092265.1
ENSG00000284676	lincRNA	AL645944.2
ENSG00000233399	lincRNA	LINC01648
ENSG00000233372	lincRNA	AL137076.1
ENSG00000236335	lincRNA	AL161638.2
ENSG00000231949	lincRNA	AL161638.1
ENSG00000186056	antisense	MATN1-AS1
ENSG00000229607	lincRNA	AL137027.1
ENSG00000223382	lincRNA	LINC01778
ENSG00000235143	antisense	AL445235.1
ENSG00000229044	antisense	AL451070.1
ENSG00000284543	processed_transcript	LINC01226
ENSG00000229167	antisense	AC114488.1
ENSG00000235790	antisense	AC114488.2
ENSG00000264078	antisense	AC114488.3
ENSG00000254545	antisense	AL354919.2
ENSG00000203620	lincRNA	AL354919.1
ENSG00000269967	lincRNA	AL136115.2
ENSG00000228634	lincRNA	AL136115.1
ENSG00000284702	lincRNA	AL136115.3
ENSG00000203325	antisense	AL445248.1
ENSG00000224066	antisense	AL049795.1
ENSG00000233775	lincRNA	AL109945.1
ENSG00000224409	antisense	AC114489.1
ENSG00000278966	TEC	AL031602.1
ENSG00000236065	antisense	AL020995.1
ENSG00000278997	TEC	AL662907.1
ENSG00000279179	TEC	AL662907.2
ENSG00000284721	lincRNA	AL662907.3
ENSG00000270115	lincRNA	AL513327.3
ENSG00000225313	antisense	AL513327.1
ENSG00000233246	antisense	AL513327.2
ENSG00000231163	antisense	CSMD2-AS1
ENSG00000255811	antisense	AL121988.1
ENSG00000230163	antisense	AL122010.1
ENSG00000284640	lincRNA	AL590434.1
ENSG00000227409	antisense	ZMYM4-AS1
ENSG00000239636	antisense	AC004865.2
ENSG00000232335	antisense	AL354864.1
ENSG00000271914	lincRNA	AL139286.2
ENSG00000271554	antisense	AL138787.2
ENSG00000116883	antisense	AL591845.1
ENSG00000284705	lincRNA	AL596257.1
ENSG00000284720	lincRNA	AC117945.2
ENSG00000234481	antisense	AC117945.1
ENSG00000284650	lincRNA	AL031430.1
ENSG00000223944	lincRNA	AL353604.1
ENSG00000233621	antisense	LINC01137
ENSG00000284748	bidirectional_promoter_lncRNA	AL513220.1
ENSG00000233728	antisense	AL929472.3
ENSG00000230955	antisense	AL929472.2
ENSG00000224592	lincRNA	AL139158.2
ENSG00000284623	lincRNA	AL139158.3
ENSG00000237290	lincRNA	LINC01343
ENSG00000238063	lincRNA	LINC01685
ENSG00000284632	lincRNA	AL354702.2
ENSG00000273637	processed_transcript	AL139260.2
ENSG00000228436	antisense	AL139260.1
ENSG00000226438	antisense	AL442071.1
ENSG00000228060	antisense	AL365277.1
ENSG00000225903	antisense	AL035404.2
ENSG00000285905	lincRNA	AL033527.6
ENSG00000261798	antisense	AL033527.3
ENSG00000284719	lincRNA	AL033527.5
ENSG00000284678	lincRNA	AL033527.4
ENSG00000236546	antisense	AL033527.2
ENSG00000259943	antisense	AL050341.2
ENSG00000284677	lincRNA	AL031985.4
ENSG00000260920	sense_overlapping	AL031985.3
ENSG00000279667	TEC	AL603839.4
ENSG00000238287	antisense	AL603839.3
ENSG00000227278	antisense	AL603839.1
ENSG00000238186	antisense	AL603839.2
ENSG00000237899	lincRNA	AL031289.1
ENSG00000272145	antisense	NFYC-AS1
ENSG00000229528	antisense	AC119677.1
ENSG00000281207	antisense	SLFNL1-AS1
ENSG00000235358	lincRNA	AC093151.3
ENSG00000229901	antisense	AC093151.2
ENSG00000230881	antisense	AL445933.2
ENSG00000227527	sense_overlapping	AC096540.1
ENSG00000285728	antisense	AC098484.4
ENSG00000234917	lincRNA	AC098484.2
ENSG00000228452	antisense	AC098484.1
ENSG00000228192	antisense	AL512353.1
ENSG00000227533	lincRNA	SLC2A1-AS1
ENSG00000283973	lincRNA	AC099795.1
ENSG00000234694	antisense	AL139289.2
ENSG00000229431	antisense	AL139289.1
ENSG00000229372	antisense	SZT2-AS1
ENSG00000229348	3prime_overlapping_ncRNA	HYI-AS1
ENSG00000236200	antisense	KDM4A-AS1
ENSG00000229444	antisense	AL451062.1
ENSG00000237950	antisense	AL357079.1
ENSG00000285649	antisense	AL357079.2
ENSG00000230615	lincRNA	AL139220.2
ENSG00000225721	antisense	AL592166.1
ENSG00000281912	lincRNA	LINC01144
ENSG00000226957	antisense	AL358075.1
ENSG00000227857	antisense	AL358075.2
ENSG00000224863	processed_transcript	LINC01398
ENSG00000269956	antisense	MKNK1-AS1
ENSG00000228237	antisense	EFCAB14-AS1
ENSG00000225506	lincRNA	CYP4A22-AS1
ENSG00000224805	antisense	LINC00853
ENSG00000226252	antisense	AL135960.1
ENSG00000225762	antisense	LINC01389
ENSG00000237424	lincRNA	FOXD2-AS1
ENSG00000227947	lincRNA	LINC01738
ENSG00000223814	lincRNA	AL691459.1
ENSG00000225028	lincRNA	AC096541.1
ENSG00000226133	lincRNA	AL356289.1
ENSG00000231413	lincRNA	AL356289.2
ENSG00000279096	TEC	AL356289.3
ENSG00000223720	lincRNA	AL109659.1
ENSG00000272491	antisense	AL109659.2
ENSG00000279214	TEC	AL109659.3
ENSG00000229846	antisense	AC099788.1
ENSG00000230114	antisense	AL590432.1
ENSG00000279324	TEC	AL645730.1
ENSG00000237337	antisense	AL592182.2
ENSG00000233407	antisense	AL592182.1
ENSG00000284696	lincRNA	AL596275.2
ENSG00000284645	lincRNA	AL592182.3
ENSG00000284700	bidirectional_promoter_lncRNA	AL049637.2
ENSG00000225767	antisense	AL049637.1
ENSG00000203356	lincRNA	LINC01562
ENSG00000236434	antisense	AL162430.2
ENSG00000261664	antisense	TTC39A-AS1
ENSG00000238140	antisense	AC104170.2
ENSG00000227070	antisense	AC104170.1
ENSG00000266993	antisense	AL050343.1
ENSG00000272175	antisense	AL050343.2
ENSG00000223390	antisense	AL445685.1
ENSG00000228369	antisense	TXNDC12-AS1
ENSG00000272100	antisense	AL513218.1
ENSG00000272371	lincRNA	AL591167.1
ENSG00000242391	antisense	AC099677.4
ENSG00000232993	antisense	AL445183.1
ENSG00000235563	antisense	AL445183.2
ENSG00000236723	antisense	AL606760.2
ENSG00000259818	antisense	AL606760.3
ENSG00000226754	antisense	AL606760.1
ENSG00000234578	antisense	AL355483.4
ENSG00000228838	antisense	AL355483.2
ENSG00000232762	antisense	AL355483.3
ENSG00000225675	lincRNA	LINC01771
ENSG00000285954	lincRNA	AC119428.3
ENSG00000226938	lincRNA	AC119428.1
ENSG00000230138	lincRNA	AC119428.2
ENSG00000280378	TEC	AL353898.3
ENSG00000280425	antisense	AL357673.2
ENSG00000198711	antisense	SSBP3-AS1
ENSG00000225632	antisense	AL161644.1
ENSG00000232245	lincRNA	AL035415.1
ENSG00000235741	lincRNA	AC099796.1
ENSG00000230728	sense_overlapping	AL590093.1
ENSG00000237453	antisense	AC096536.1
ENSG00000242396	antisense	AC096536.2
ENSG00000233203	antisense	DHCR24-DT
ENSG00000284601	bidirectional_promoter_lncRNA	AL590440.2
ENSG00000233271	antisense	AL590440.1
ENSG00000231090	lincRNA	MIR4422HG
ENSG00000234810	lincRNA	AL603840.1
ENSG00000233079	lincRNA	LINC01755
ENSG00000230250	lincRNA	LINC01753
ENSG00000235612	lincRNA	AL353681.1
ENSG00000260971	lincRNA	AC119674.1
ENSG00000223956	lincRNA	LINC01767
ENSG00000229913	antisense	AL360295.1
ENSG00000236341	antisense	AL161740.1
ENSG00000227935	lincRNA	AL390243.1
ENSG00000226759	antisense	DAB1-AS1
ENSG00000235038	lincRNA	AL445193.2
ENSG00000283445	lincRNA	AL136985.3
ENSG00000234807	lincRNA	LINC01135
ENSG00000272226	lincRNA	AL136985.2
ENSG00000231740	lincRNA	AL136985.1
ENSG00000232453	lincRNA	AC105277.1
ENSG00000237352	lincRNA	LINC01358
ENSG00000241042	lincRNA	AL592431.2
ENSG00000235215	lincRNA	AL592431.1
ENSG00000224609	processed_transcript	HSD52
ENSG00000270457	lincRNA	AC093424.1
ENSG00000226883	antisense	AL035416.1
ENSG00000238242	lincRNA	AC097066.1
ENSG00000226476	lincRNA	LINC01748
ENSG00000231252	lincRNA	AC099792.1
ENSG00000237928	antisense	NFIA-AS2
ENSG00000237853	processed_transcript	NFIA-AS1
ENSG00000284808	lincRNA	AC099791.3
ENSG00000271200	lincRNA	AC099791.2
ENSG00000278967	TEC	AL138847.2
ENSG00000235545	antisense	AC103923.1
ENSG00000234318	lincRNA	AC099794.1
ENSG00000229537	lincRNA	LINC01739
ENSG00000227485	lincRNA	AL162400.1
ENSG00000229225	lincRNA	AL162400.2
ENSG00000203605	lincRNA	AC096543.1
ENSG00000224209	processed_transcript	LINC00466
ENSG00000228734	lincRNA	AC096543.2
ENSG00000230798	antisense	FOXD3-AS1
ENSG00000223949	antisense	ROR1-AS1
ENSG00000284928	lincRNA	AL445205.1
ENSG00000226891	processed_transcript	LINC01359
ENSG00000272506	lincRNA	AL357078.3
ENSG00000231485	lincRNA	AL357078.1
ENSG00000229294	antisense	AL139294.1
ENSG00000285079	lincRNA	AL513493.1
ENSG00000227466	antisense	AL590783.1
ENSG00000248458	antisense	AL139147.1
ENSG00000231080	antisense	AL592161.1
ENSG00000235200	lincRNA	LINC01702
ENSG00000232284	antisense	GNG12-AS1
ENSG00000233589	antisense	AL138789.1
ENSG00000234264	antisense	DEPDC1-AS1
ENSG00000285041	lincRNA	AL035412.1
ENSG00000285407	lincRNA	AL033530.1
ENSG00000285473	lincRNA	AL691520.1
ENSG00000223883	lincRNA	LINC01707
ENSG00000235446	lincRNA	AL512271.1
ENSG00000229639	lincRNA	LINC01758
ENSG00000237919	antisense	AL158840.1
ENSG00000228988	antisense	AL353771.1
ENSG00000226088	antisense	AL158839.1
ENSG00000271992	lincRNA	AL354872.2
ENSG00000229051	lincRNA	LINC01788
ENSG00000226208	lincRNA	AL513285.1
ENSG00000235782	antisense	AL031429.1
ENSG00000235079	antisense	ZRANB2-AS1
ENSG00000229956	processed_transcript	ZRANB2-AS2
ENSG00000231985	antisense	AL354949.1
ENSG00000225087	lincRNA	AL583808.1
ENSG00000227016	lincRNA	AL583808.2
ENSG00000285808	lincRNA	AL583808.3
ENSG00000280317	TEC	AL732618.1
ENSG00000233973	lincRNA	LINC01360
ENSG00000223479	lincRNA	LINC02238
ENSG00000285778	lincRNA	AL591463.1
ENSG00000237324	antisense	AC093158.1
ENSG00000233894	antisense	AC105271.1
ENSG00000234497	antisense	ERICH3-AS1
ENSG00000272864	lincRNA	AC135803.1
ENSG00000229943	lincRNA	AC133865.1
ENSG00000261213	lincRNA	AC099786.3
ENSG00000224127	antisense	AC099786.1
ENSG00000224149	antisense	AC099786.2
ENSG00000225605	lincRNA	AC092813.1
ENSG00000230027	lincRNA	AC092813.2
ENSG00000272855	lincRNA	AC104458.1
ENSG00000237552	lincRNA	LINC02567
ENSG00000230498	antisense	AL035409.1
ENSG00000233099	antisense	AC095030.1
ENSG00000235927	antisense	NEXN-AS1
ENSG00000273338	antisense	AC103591.3
ENSG00000285928	lincRNA	AC103591.4
ENSG00000237413	processed_transcript	MGC27382
ENSG00000282898	lincRNA	AL353651.2
ENSG00000235011	lincRNA	AL353651.1
ENSG00000285462	lincRNA	AL353651.3
ENSG00000285409	lincRNA	AC099671.1
ENSG00000260322	lincRNA	AC098657.2
ENSG00000225598	lincRNA	AL606519.1
ENSG00000224326	lincRNA	AL136234.1
ENSG00000234184	lincRNA	LINC01781
ENSG00000285179	lincRNA	AC093154.1
ENSG00000234953	antisense	AL138799.4
ENSG00000236676	antisense	AC117944.1
ENSG00000233290	lincRNA	AL157944.1
ENSG00000230817	lincRNA	LINC01362
ENSG00000236268	lincRNA	LINC01361
ENSG00000285782	lincRNA	AC116099.1
ENSG00000231364	lincRNA	LINC01712
ENSG00000233008	lincRNA	LINC01725
ENSG00000237076	lincRNA	AL035706.1
ENSG00000285201	lincRNA	AC104454.2
ENSG00000271576	lincRNA	AL359504.2
ENSG00000285361	lincRNA	AL844170.1
ENSG00000285851	processed_transcript	AL359762.3
ENSG00000284882	bidirectional_promoter_lncRNA	AL359762.1
ENSG00000285374	lincRNA	AL359762.2
ENSG00000180869	lincRNA	LINC01555
ENSG00000285325	lincRNA	AC104169.1
ENSG00000280099	TEC	AL603750.1
ENSG00000223653	antisense	AL078459.1
ENSG00000273264	lincRNA	AL360219.1
ENSG00000282057	lincRNA	AC092807.3
ENSG00000272691	lincRNA	AC092807.2
ENSG00000230285	lincRNA	AC092807.1
ENSG00000285210	lincRNA	AL136382.1
ENSG00000236915	antisense	AL356270.1
ENSG00000261737	antisense	AL049597.2
ENSG00000284846	lincRNA	AL355981.1
ENSG00000267734	antisense	AL121989.1
ENSG00000267272	lincRNA	LINC01140
ENSG00000284240	lincRNA	AC099062.1
ENSG00000227290	lincRNA	LINC01364
ENSG00000237505	antisense	PKN2-AS1
ENSG00000279778	TEC	AL445437.1
ENSG00000284734	antisense	AC099063.4
ENSG00000237568	antisense	AC099063.1
ENSG00000231999	antisense	LRRC8C-DT
ENSG00000272931	lincRNA	AC099568.2
ENSG00000272672	lincRNA	AL391497.1
ENSG00000229201	lincRNA	AC092783.1
ENSG00000233593	processed_transcript	AL590094.1
ENSG00000285532	lincRNA	AC091614.2
ENSG00000225446	lincRNA	LINC01763
ENSG00000272094	lincRNA	AC091614.1
ENSG00000273487	lincRNA	AC104836.1
ENSG00000223745	processed_transcript	CCDC18-AS1
ENSG00000224093	antisense	AL109613.1
ENSG00000260464	bidirectional_promoter_lncRNA	AL049796.1
ENSG00000233482	antisense	AC093579.1
ENSG00000226835	lincRNA	AC097059.1
ENSG00000236098	lincRNA	AC097059.2
ENSG00000223675	lincRNA	AC093117.1
ENSG00000235501	antisense	AC105942.1
ENSG00000230427	antisense	AC095033.1
ENSG00000226026	antisense	AC092802.1
ENSG00000228852	antisense	AC092802.2
ENSG00000228504	lincRNA	LINC01760
ENSG00000230434	lincRNA	LINC01650
ENSG00000237954	lincRNA	AL445218.1
ENSG00000233907	lincRNA	LINC01761
ENSG00000228971	lincRNA	AL356479.1
ENSG00000271252	lincRNA	AL683887.1
ENSG00000237435	lincRNA	AC099566.1
ENSG00000231987	lincRNA	LINC01787
ENSG00000232878	antisense	DPYD-AS1
ENSG00000235777	antisense	DPYD-AS2
ENSG00000225206	lincRNA	MIR137HG
ENSG00000259946	lincRNA	BX005019.1
ENSG00000285922	lincRNA	AC104453.1
ENSG00000226053	lincRNA	LINC01776
ENSG00000280040	TEC	AC095031.1
ENSG00000232825	antisense	AL445433.2
ENSG00000224445	lincRNA	LINC01708
ENSG00000228084	antisense	AC118553.1
ENSG00000241073	antisense	AC093019.2
ENSG00000285530	antisense	AL445928.2
ENSG00000224616	lincRNA	RTCA-AS1
ENSG00000223906	lincRNA	AC104457.2
ENSG00000228086	antisense	AL589990.1
ENSG00000230402	lincRNA	LINC01349
ENSG00000285525	lincRNA	AC099670.3
ENSG00000273204	antisense	AC104506.1
ENSG00000235795	antisense	AC093157.2
ENSG00000233184	antisense	AC093157.1
ENSG00000225938	antisense	AL109741.1
ENSG00000231671	lincRNA	LINC01307
ENSG00000226715	lincRNA	LINC01709
ENSG00000233359	lincRNA	AC114485.1
ENSG00000230864	lincRNA	AC099567.1
ENSG00000230759	lincRNA	AC095032.2
ENSG00000224613	bidirectional_promoter_lncRNA	AC095032.1
ENSG00000285981	lincRNA	AL591888.1
ENSG00000230768	lincRNA	LINC01676
ENSG00000233047	lincRNA	LINC01677
ENSG00000237480	lincRNA	AL355306.2
ENSG00000237460	lincRNA	LINC01661
ENSG00000230489	antisense	VAV3-AS1
ENSG00000226822	lincRNA	AL390036.1
ENSG00000260879	antisense	AL359258.2
ENSG00000280186	TEC	AL359258.3
ENSG00000238122	lincRNA	AL359258.1
ENSG00000224698	lincRNA	AL390038.1
ENSG00000285923	bidirectional_promoter_lncRNA	AL160171.1
ENSG00000232971	antisense	AL591719.2
ENSG00000203897	antisense	SPATA42
ENSG00000273382	antisense	AL356488.3
ENSG00000270066	lincRNA	AL356488.2
ENSG00000254942	antisense	AL355310.3
ENSG00000225113	sense_overlapping	AL355310.1
ENSG00000228703	antisense	AL355310.2
ENSG00000260246	antisense	AC000032.1
ENSG00000241720	antisense	AL158847.1
ENSG00000228420	lincRNA	LINC01768
ENSG00000235005	antisense	AL450468.1
ENSG00000261055	lincRNA	AL450468.2
ENSG00000258634	antisense	AL160006.1
ENSG00000258673	antisense	LINC01397
ENSG00000227091	antisense	AL355990.1
ENSG00000235526	antisense	AL355990.2
ENSG00000224965	antisense	LINC02586
ENSG00000227963	antisense	RBM15-AS1
ENSG00000224699	processed_transcript	LAMTOR5-AS1
ENSG00000273373	antisense	AL355488.1
ENSG00000270380	antisense	AL358215.1
ENSG00000282887	lincRNA	AL358215.2
ENSG00000283999	processed_transcript	AL358215.3
ENSG00000235407	lincRNA	CYMP-AS1
ENSG00000259834	lincRNA	AL365361.1
ENSG00000261654	sense_overlapping	AL360270.2
ENSG00000232811	antisense	AL360270.1
ENSG00000273010	antisense	AL360270.3
ENSG00000272982	antisense	AL355816.1
ENSG00000273221	antisense	AL355816.2
ENSG00000229283	antisense	AL356387.1
ENSG00000260948	sense_overlapping	AL390195.2
