gene_id	gene_type	gene_name
152	ENSG00000116151	protein_coding	MORN1
153	ENSG00000272161	sense_intronic	AL589739.1
154	ENSG00000269896	transcribed_processed_pseudogene	AL513477.1
155	ENSG00000272420	sense_intronic	AL513477.2
156	ENSG00000157916	protein_coding	RER1
157	ENSG00000157911	protein_coding	PEX10
158	ENSG00000149527	protein_coding	PLCH2
159	ENSG00000224387	antisense	AL139246.1
160	ENSG00000229393	antisense	AL139246.4
161	ENSG00000157881	protein_coding	PANK4
162	ENSG00000197921	protein_coding	HES5
163	ENSG00000272449	lincRNA	AL139246.5
164	ENSG00000238164	antisense	TNFRSF14-AS1
165	ENSG00000157873	protein_coding	TNFRSF14
166	ENSG00000225931	TEC	AL139246.2
167	ENSG00000228037	lincRNA	AL139246.3
168	ENSG00000157870	protein_coding	PRXL2B
169	ENSG00000142606	protein_coding	MMEL1
170	ENSG00000237058	antisense	AL831784.1
171	ENSG00000215912	protein_coding	TTC34
172	ENSG00000285945	lincRNA	AC242022.2
173	ENSG00000283259	antisense	AC242022.1
174	ENSG00000233234	lincRNA	AL592464.2
175	ENSG00000231630	lincRNA	AL592464.1
176	ENSG00000284745	lincRNA	AL589702.1
177	ENSG00000169717	protein_coding	ACTRT2
178	ENSG00000177133	antisense	LINC00982
179	ENSG00000142611	protein_coding	PRDM16
180	ENSG00000283572	miRNA	MIR4251
181	ENSG00000226286	antisense	AL008733.1
182	ENSG00000279839	TEC	AL512383.1
183	ENSG00000272235	lincRNA	AL590438.1
184	ENSG00000130762	protein_coding	ARHGEF16
185	ENSG00000272088	lincRNA	AL512413.1
186	ENSG00000162591	protein_coding	MEGF6
187	ENSG00000207776	miRNA	MIR551A
188	ENSG00000238260	antisense	AL513320.1
189	ENSG00000158109	protein_coding	TPRG1L
190	ENSG00000116213	protein_coding	WRAP73
191	ENSG00000078900	protein_coding	TP73
192	ENSG00000227589	antisense	AL136528.1
193	ENSG00000235131	antisense	AL136528.2
194	ENSG00000227372	transcribed_unitary_pseudogene	TP73-AS1
195	ENSG00000276189	misc_RNA	RF02197
196	ENSG00000162592	protein_coding	CCDC27
197	ENSG00000235169	protein_coding	SMIM1
198	ENSG00000130764	protein_coding	LRRC47
199	ENSG00000266075	misc_RNA	RN7SL574P
200	ENSG00000272153	antisense	AL365330.1
201	ENSG00000116198	protein_coding	CEP104
202	ENSG00000169598	protein_coding	DFFB
203	ENSG00000198912	protein_coding	C1orf174
204	ENSG00000236423	lincRNA	LINC01134
205	ENSG00000233304	lincRNA	LINC01346
206	ENSG00000226374	lincRNA	LINC01345
207	ENSG00000284668	lincRNA	AL805961.1
208	ENSG00000284703	lincRNA	AL805961.2
209	ENSG00000229280	processed_pseudogene	EEF1DP6
210	ENSG00000235054	lincRNA	LINC01777
211	ENSG00000284694	lincRNA	AL355602.1
212	ENSG00000227169	lincRNA	Z98747.1
213	ENSG00000232596	lincRNA	LINC01646
214	ENSG00000196581	protein_coding	AJAP1
215	ENSG00000284739	lincRNA	BX005132.2
216	ENSG00000284674	lincRNA	BX005132.1
217	ENSG00000231510	lincRNA	AL691497.1
218	ENSG00000284616	lincRNA	AL139823.1
219	ENSG00000284692	lincRNA	Z98259.3
220	ENSG00000284666	lincRNA	Z98259.2
221	ENSG00000260972	lincRNA	Z98259.1
222	ENSG00000283356	unprocessed_pseudogene	Z97988.1
223	ENSG00000236948	lincRNA	AL365255.1
224	ENSG00000264341	miRNA	MIR4417
225	ENSG00000264101	miRNA	MIR4689
226	ENSG00000131697	protein_coding	NPHP4
227	ENSG00000069424	protein_coding	KCNAB2
228	ENSG00000116254	protein_coding	CHD5
229	ENSG00000285629	protein_coding	AL031847.2
230	ENSG00000116251	protein_coding	RPL22
231	ENSG00000226944	antisense	AL031847.1
232	ENSG00000158286	protein_coding	RNF207
233	ENSG00000116237	protein_coding	ICMT
234	ENSG00000225077	lincRNA	LINC00337
235	ENSG00000173673	protein_coding	HES3
236	ENSG00000158292	protein_coding	GPR153
237	ENSG00000097021	protein_coding	ACOT7
238	ENSG00000271746	antisense	AL031848.2
239	ENSG00000069812	protein_coding	HES2
240	ENSG00000187017	protein_coding	ESPN
241	ENSG00000265392	miRNA	MIR4252
242	ENSG00000231868	antisense	AL031848.1
243	ENSG00000215788	protein_coding	TNFRSF25
244	ENSG00000171680	protein_coding	PLEKHG5
245	ENSG00000162408	protein_coding	NOL9
246	ENSG00000253022	snRNA	RNU6-731P
247	ENSG00000229519	processed_pseudogene	AL591866.1
248	ENSG00000173662	protein_coding	TAS1R1
249	ENSG00000204859	protein_coding	ZBTB48
250	ENSG00000162413	protein_coding	KLHL21
251	ENSG00000116273	protein_coding	PHF13
252	ENSG00000041988	protein_coding	THAP3
253	ENSG00000007923	protein_coding	DNAJC11
254	ENSG00000228750	lincRNA	LINC01672
255	ENSG00000284744	lincRNA	AL591163.1
256	ENSG00000237436	antisense	CAMTA1-DT
257	ENSG00000171735	protein_coding	CAMTA1
258	ENSG00000227950	processed_pseudogene	AL590128.1
259	ENSG00000237365	antisense	AL512330.1
260	ENSG00000207056	snRNA	RNU1-8P
261	ENSG00000237402	sense_intronic	CAMTA1-IT1
262	ENSG00000237728	antisense	Z97987.1
263	ENSG00000225126	antisense	AL365194.1
264	ENSG00000270171	lincRNA	AL359881.3
265	ENSG00000270035	lincRNA	AL359881.2
266	ENSG00000269978	lincRNA	AL359881.1
267	ENSG00000049245	protein_coding	VAMP3
268	ENSG00000269925	sense_intronic	Z98884.2
269	ENSG00000049246	protein_coding	PER3
270	ENSG00000236266	antisense	Z98884.1
271	ENSG00000049247	protein_coding	UTS2
272	ENSG00000049249	protein_coding	TNFRSF9
273	ENSG00000270330	processed_pseudogene	AL009183.1
274	ENSG00000116288	protein_coding	PARK7
275	ENSG00000200344	misc_RNA	RF00019
276	ENSG00000284747	antisense	AL034417.4
277	ENSG00000284716	lincRNA	AL034417.3
278	ENSG00000116285	protein_coding	ERRFI1
279	ENSG00000238290	lincRNA	AL034417.2
280	ENSG00000232848	processed_pseudogene	AL034417.1
281	ENSG00000229305	processed_pseudogene	AL358876.1
282	ENSG00000227634	lincRNA	LINC01714
283	ENSG00000200975	snRNA	RNU1-7P
284	ENSG00000233645	lincRNA	AL358876.2
285	ENSG00000251977	snRNA	RNU6-991P
286	ENSG00000162426	protein_coding	SLC45A1
287	ENSG00000252254	misc_RNA	RF00019
288	ENSG00000142599	protein_coding	RERE
289	ENSG00000232912	antisense	AL096855.1
290	ENSG00000221083	snoRNA	RF00599
291	ENSG00000270282	processed_pseudogene	AL096855.2
292	ENSG00000234619	processed_pseudogene	RPL7P11
293	ENSG00000224315	processed_pseudogene	RPL7P7
294	ENSG00000222511	misc_RNA	RF00019
295	ENSG00000226545	unprocessed_pseudogene	AL357552.1
296	ENSG00000228423	lincRNA	AL357552.2
297	ENSG00000229716	processed_pseudogene	RPL23AP19
298	ENSG00000074800	protein_coding	ENO1
299	ENSG00000274258	miRNA	MIR6728
300	ENSG00000230679	antisense	ENO1-AS1
301	ENSG00000201725	snRNA	RNU6-304P
302	ENSG00000238249	processed_pseudogene	HMGN2P17
303	ENSG00000232208	processed_pseudogene	AL139415.1
304	ENSG00000232663	processed_pseudogene	AL139415.2
305	ENSG00000131686	protein_coding	CA6
306	ENSG00000265141	misc_RNA	RN7SL451P
307	ENSG00000197241	protein_coding	SLC2A7
308	ENSG00000142583	protein_coding	SLC2A5
309	ENSG00000252404	scaRNA	RF00424
310	ENSG00000180758	protein_coding	GPR157
311	ENSG00000228526	lincRNA	MIR34AHG
312	ENSG00000284357	miRNA	MIR34A
313	ENSG00000234546	lincRNA	LNCTAM34A
314	ENSG00000049239	protein_coding	H6PD
315	ENSG00000171621	protein_coding	SPSB1
316	ENSG00000284652	lincRNA	BX323043.1
317	ENSG00000284693	lincRNA	AL928921.2
318	ENSG00000252956	rRNA_pseudogene	RNA5SP40
319	ENSG00000235263	lincRNA	AL928921.1
320	ENSG00000171612	protein_coding	SLC25A33
321	ENSG00000231181	processed_pseudogene	AL954705.1
322	ENSG00000188807	protein_coding	TMEM201
323	ENSG00000171608	protein_coding	PIK3CD
324	ENSG00000179840	antisense	PIK3CD-AS1
325	ENSG00000233268	processed_pseudogene	AL691449.1
326	ENSG00000231789	antisense	PIK3CD-AS2
327	ENSG00000171603	protein_coding	CLSTN1
328	ENSG00000271264	processed_pseudogene	MZT1P1
329	ENSG00000280113	TEC	AL357140.3
330	ENSG00000178585	protein_coding	CTNNBIP1
331	ENSG00000223989	antisense	AL357140.1
332	ENSG00000285701	antisense	AL357140.5
333	ENSG00000162441	protein_coding	LZIC
334	ENSG00000228150	sense_intronic	AL357140.2
335	ENSG00000173614	protein_coding	NMNAT1
336	ENSG00000202415	misc_RNA	RN7SKP269
337	ENSG00000283611	unitary_pseudogene	AL357140.4
338	ENSG00000265521	miRNA	MIR5697
339	ENSG00000241326	sense_intronic	AL603962.1
340	ENSG00000162444	protein_coding	RBP7
341	ENSG00000130939	protein_coding	UBE4B
342	ENSG00000224340	processed_pseudogene	AL590639.1
343	ENSG00000233623	processed_pseudogene	PGAM1P11
344	ENSG00000201746	snRNA	RNU6-828P
345	ENSG00000054523	protein_coding	KIF1B
346	ENSG00000264881	miRNA	MIR1273D
347	ENSG00000199562	snRNA	RNU6-37P
348	ENSG00000264501	misc_RNA	RN7SL731P
349	ENSG00000284735	lincRNA	AL139424.3
350	ENSG00000284642	lincRNA	AL139424.2
351	ENSG00000142657	protein_coding	PGD
352	ENSG00000271989	antisense	AL139424.1
353	ENSG00000251503	protein_coding	CENPS-CORT
354	ENSG00000175279	protein_coding	CENPS
355	ENSG00000241563	protein_coding	CORT
356	ENSG00000160049	protein_coding	DFFA
357	ENSG00000203469	antisense	AL354956.1
358	ENSG00000142655	protein_coding	PEX14
359	ENSG00000243267	misc_RNA	RN7SL614P
360	ENSG00000130940	protein_coding	CASZ1
361	ENSG00000272078	antisense	AL139423.1
362	ENSG00000225158	processed_pseudogene	HSPE1P24
363	ENSG00000175262	protein_coding	C1orf127
364	ENSG00000215785	processed_pseudogene	CFL1P6
365	ENSG00000120948	protein_coding	TARDBP
366	ENSG00000277726	protein_coding	AL109811.4
367	ENSG00000009724	protein_coding	MASP2
368	ENSG00000271895	antisense	AL109811.3
369	ENSG00000116649	protein_coding	SRM
370	ENSG00000171824	protein_coding	EXOSC10
371	ENSG00000226849	antisense	AL109811.1
372	ENSG00000230337	antisense	AL109811.2
373	ENSG00000198793	protein_coding	MTOR
374	ENSG00000225602	antisense	MTOR-AS1
375	ENSG00000253086	snRNA	RNU6-537P
376	ENSG00000171819	protein_coding	ANGPTL7
377	ENSG00000207451	snRNA	RNU6-291P
378	ENSG00000238173	processed_pseudogene	RPL39P6
379	ENSG00000120942	protein_coding	UBIAD1
380	ENSG00000238199	processed_pseudogene	UBE2V2P3
381	ENSG00000284646	lincRNA	AL031291.1
382	ENSG00000224338	processed_pseudogene	MTCYBP45
383	ENSG00000204624	protein_coding	DISP3
384	ENSG00000285833	antisense	AL590989.1
385	ENSG00000235643	lincRNA	LINC01647
386	ENSG00000284708	antisense	AL031731.1
387	ENSG00000116661	protein_coding	FBXO2
388	ENSG00000132879	protein_coding	FBXO44
389	ENSG00000116663	protein_coding	FBXO6
390	ENSG00000116670	protein_coding	MAD2L2
391	ENSG00000162490	protein_coding	DRAXIN
392	ENSG00000177674	protein_coding	AGTRAP
393	ENSG00000215910	protein_coding	C1orf167
394	ENSG00000177553	antisense	AL953897.1
395	ENSG00000177000	protein_coding	MTHFR
396	ENSG00000011021	protein_coding	CLCN6
397	ENSG00000276470	misc_RNA	RF02156
398	ENSG00000278852	misc_RNA	RF02157
399	ENSG00000175206	protein_coding	NPPA
400	ENSG00000275915	misc_RNA	RF02158
401	ENSG00000120937	protein_coding	NPPB
402	ENSG00000224904	processed_pseudogene	AL021155.1
403	ENSG00000285646	lincRNA	AL021155.2
404	ENSG00000199347	snRNA	RNU5E-1
405	ENSG00000201801	snRNA	RNU5E-4P
406	ENSG00000116685	protein_coding	KIAA2013
407	ENSG00000083444	protein_coding	PLOD1
408	ENSG00000116688	protein_coding	MFN2
409	ENSG00000270914	processed_pseudogene	AL096840.1
410	ENSG00000116691	protein_coding	MIIP
411	ENSG00000202461	misc_RNA	RF00019
412	ENSG00000276869	miRNA	MIR6729
413	ENSG00000243539	misc_RNA	RN7SL649P
414	ENSG00000120949	protein_coding	TNFRSF8
415	ENSG00000201135	snRNA	RNU6-777P
416	ENSG00000227875	processed_pseudogene	RPL23AP89
417	ENSG00000285604	antisense	AL357835.1
418	ENSG00000283789	miRNA	MIR7846
419	ENSG00000028137	protein_coding	TNFRSF1B
420	ENSG00000263676	miRNA	MIR4632
421	ENSG00000225196	processed_pseudogene	RPL10P17
422	ENSG00000252969	snoRNA	RF00156
423	ENSG00000048707	protein_coding	VPS13D
424	ENSG00000239149	snoRNA	SNORA59A
425	ENSG00000229484	lincRNA	AC243836.1
426	ENSG00000162496	protein_coding	DHRS3
427	ENSG00000221340	snRNA	RNU6ATAC18P
428	ENSG00000276830	miRNA	MIR6730
429	ENSG00000272482	lincRNA	AC254633.1
430	ENSG00000204518	protein_coding	AADACL4
431	ENSG00000226166	processed_pseudogene	AC244670.1
432	ENSG00000188984	protein_coding	AADACL3
433	ENSG00000157330	protein_coding	C1orf158
434	ENSG00000116726	protein_coding	PRAMEF12
435	ENSG00000116721	protein_coding	PRAMEF1
436	ENSG00000228338	lincRNA	LINC01784
437	ENSG00000239810	protein_coding	PRAMEF11
438	ENSG00000231103	unprocessed_pseudogene	PRAMEF30P
439	ENSG00000179172	protein_coding	HNRNPCL1
440	ENSG00000120952	protein_coding	PRAMEF2
441	ENSG00000243073	protein_coding	PRAMEF4
442	ENSG00000187545	protein_coding	PRAMEF10
443	ENSG00000204510	protein_coding	PRAMEF7
444	ENSG00000207434	snRNA	RNU6-1072P
445	ENSG00000234064	unprocessed_pseudogene	PRAMEF29P
446	ENSG00000232423	protein_coding	PRAMEF6
447	ENSG00000274178	unprocessed_pseudogene	PRAMEF28P
448	ENSG00000274764	protein_coding	PRAMEF27
449	ENSG00000277058	protein_coding	HNRNPCL3
450	ENSG00000229571	protein_coding	PRAMEF25
451	ENSG00000277862	unprocessed_pseudogene	PRAMEF34P
452	ENSG00000236179	unprocessed_pseudogene	PRAMEF35P
453	ENSG00000275774	protein_coding	HNRNPCL2
454	ENSG00000229978	transcribed_unprocessed_pseudogene	PRAMEF36P
455	ENSG00000233336	lincRNA	AC245056.1
456	ENSG00000280267	protein_coding	PRAMEF26
457	ENSG00000179412	protein_coding	HNRNPCL4
458	ENSG00000204505	protein_coding	PRAMEF9
459	ENSG00000279169	protein_coding	PRAMEF13
460	ENSG00000279804	protein_coding	PRAMEF18
461	ENSG00000250894	unprocessed_pseudogene	PRAMEF31P
462	ENSG00000270601	protein_coding	PRAMEF5
463	ENSG00000231219	unprocessed_pseudogene	PRAMEF32P
464	ENSG00000207511	snRNA	RNU6-771P
465	ENSG00000182330	protein_coding	PRAMEF8
466	ENSG00000237700	protein_coding	PRAMEF33
467	ENSG00000204501	protein_coding	PRAMEF15
468	ENSG00000228229	lincRNA	AC243961.1
469	ENSG00000204481	protein_coding	PRAMEF14
470	ENSG00000204480	protein_coding	PRAMEF19
471	ENSG00000204479	protein_coding	PRAMEF17
472	ENSG00000204478	protein_coding	PRAMEF20
473	ENSG00000162494	protein_coding	LRRC38
474	ENSG00000259961	antisense	AL354712.1
475	ENSG00000215909	processed_pseudogene	BRWD1P1
476	ENSG00000162493	protein_coding	PDPN
477	ENSG00000222952	rRNA_pseudogene	RNA5SP41
478	ENSG00000237445	lincRNA	AL359771.1
479	ENSG00000253085	scaRNA	RF00564
480	ENSG00000116731	protein_coding	PRDM2
481	ENSG00000189337	protein_coding	KAZN
482	ENSG00000252151	snRNA	RNU6-1265P
483	ENSG00000231606	lincRNA	AL357873.1
484	ENSG00000234593	lincRNA	KAZN-AS1
485	ENSG00000235829	processed_pseudogene	TBCAP2
486	ENSG00000175147	antisense	TMEM51-AS1
487	ENSG00000171729	protein_coding	TMEM51
488	ENSG00000204464	lincRNA	C1orf195
489	ENSG00000215720	processed_pseudogene	AL035405.1
490	ENSG00000278480	processed_pseudogene	AL391094.1
491	ENSG00000142621	protein_coding	FHAD1
492	ENSG00000233485	antisense	AL031283.2
493	ENSG00000236045	antisense	AL031283.3
494	ENSG00000228140	lincRNA	AL031283.1
495	ENSG00000142634	protein_coding	EFHD2
496	ENSG00000162438	protein_coding	CTRC
497	ENSG00000142615	protein_coding	CELA2A
498	ENSG00000215704	protein_coding	CELA2B
499	ENSG00000132906	protein_coding	CASP9
500	ENSG00000116138	protein_coding	DNAJC16
501	ENSG00000251866	scaRNA	SCARNA21B
502	ENSG00000272510	antisense	AL121992.3
503	ENSG00000116771	protein_coding	AGMAT
504	ENSG00000237301	antisense	AL121992.1
505	ENSG00000235084	processed_pseudogene	CHCHD2P6
506	ENSG00000252417	snRNA	RNU7-179P
507	ENSG00000236500	processed_pseudogene	CD24P1
508	ENSG00000197312	protein_coding	DDI2
509	ENSG00000215695	protein_coding	RSC1A1
510	ENSG00000271742	lincRNA	AL121992.2
511	ENSG00000116786	protein_coding	PLEKHM2
512	ENSG00000237938	antisense	AL450998.2
513	ENSG00000162461	protein_coding	SLC25A34
514	ENSG00000224459	antisense	SLC25A34-AS1
515	ENSG00000162460	protein_coding	TMEM82
516	ENSG00000162458	protein_coding	FBLIM1
517	ENSG00000224321	processed_pseudogene	RPL12P14
518	ENSG00000233954	protein_coding	UQCRHL
519	ENSG00000178715	processed_pseudogene	AL450998.1
520	ENSG00000179743	antisense	FLJ37453
521	ENSG00000065526	protein_coding	SPEN
522	ENSG00000270620	unprocessed_pseudogene	AL034555.1
523	ENSG00000116809	protein_coding	ZBTB17
524	ENSG00000234607	processed_pseudogene	AL355994.4
525	ENSG00000231353	unprocessed_pseudogene	AL355994.1
526	ENSG00000275503	processed_pseudogene	AL355994.5
527	ENSG00000224966	unprocessed_pseudogene	TBC1D3P6
528	ENSG00000183888	protein_coding	SRARP
529	ENSG00000233078	antisense	AL355994.3
530	ENSG00000173641	protein_coding	HSPB7
531	ENSG00000186510	protein_coding	CLCNKA
532	ENSG00000232456	unprocessed_pseudogene	AL355994.2
533	ENSG00000184908	protein_coding	CLCNKB
534	ENSG00000185519	protein_coding	FAM131C
535	ENSG00000142627	protein_coding	EPHA2
536	ENSG00000227959	antisense	AL451042.2
537	ENSG00000224621	antisense	AL451042.1
538	ENSG00000234166	antisense	ARHGEF19-AS1
539	ENSG00000142632	protein_coding	ARHGEF19
540	ENSG00000237276	transcribed_unprocessed_pseudogene	ANO7L1
541	ENSG00000132881	protein_coding	CPLANE2
542	ENSG00000233929	processed_pseudogene	MT1XP1
543	ENSG00000037637	protein_coding	FBXO42
544	ENSG00000055070	protein_coding	SZRD1
545	ENSG00000226457	processed_pseudogene	RPL22P3
546	ENSG00000187144	protein_coding	SPATA21
547	ENSG00000157191	protein_coding	NECAP2
548	ENSG00000226029	lincRNA	LINC01772
549	ENSG00000080947	transcribed_unprocessed_pseudogene	CROCCP3
550	ENSG00000206652	snRNA	RNU1-1
551	ENSG00000261135	lincRNA	AL137802.2
552	ENSG00000285853	lincRNA	AL137802.3
553	ENSG00000224174	lincRNA	AL137802.1
554	ENSG00000233421	lincRNA	LINC01783
555	ENSG00000277344	snRNA	RNU1-6P
556	ENSG00000225710	unprocessed_pseudogene	AL355149.1
557	ENSG00000219481	protein_coding	NBPF1
558	ENSG00000271732	lincRNA	AL137798.1
559	ENSG00000215908	transcribed_unprocessed_pseudogene	CROCCP2
560	ENSG00000283773	transcribed_unprocessed_pseudogene	AL137798.3
561	ENSG00000186301	unprocessed_pseudogene	MST1P2
562	ENSG00000282143	lincRNA	AL137798.2
563	ENSG00000207513	snRNA	RNU1-3
564	ENSG00000280114	unprocessed_pseudogene	AL021920.2
565	ENSG00000236698	processed_pseudogene	EIF1AXP1
566	ENSG00000268869	transcribed_unprocessed_pseudogene	ESPNP
567	ENSG00000279151	lincRNA	AL021920.1
568	ENSG00000282740	lincRNA	AL021920.3
569	ENSG00000058453	protein_coding	CROCC
