genes	logFC	logCPM	LR	PValue	FDR	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	IRI1	IRI2	IRI3	IRI4	IRI5	IRI6	IRI7	IRI8	IRI9	IRI10	IRI11	IRI12	IRI13	IRI14	IRI15	IRI16	IRI17	IRI18	IRI19	IRI20	IRI21	IRI22	IRI23
AC093620.1	2.68406626442626	4.06461134558414	8.75593090136216	0.00308596811981206	1	0	1	0	1	0	1	0	1	0	0	0	3	0	0	2	0	0	0	6	2	0	2	0	2	0	0	0	0	4	7	0	0	1	0	1	29	2	3	1	0
AL023584.1	1.56874685928756	5.22192306218145	8.75585151984914	0.00308610244629423	1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02005	2.05932285589371	4.64599728759371	8.66608574023243	0.00324186788657193	1	0	0	3	1	0	2	1	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007314.1	2.00802840134697	4.65667632116346	8.66215688087502	0.00324886508737009	1	0	0	0	1	1	1	2	2	0	1	3	8	3	7	5	0	0	9	4	4	2	2	3	0	3	2	2	0	0	3	0	24	9	5	2	3	8	1	6	2
AC023510.1	2.69472600602309	4.07668623792524	8.63786089250936	0.00329247790957158	1	1	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC016773.1	1.54346139743429	5.67820222804709	8.60980843349911	0.00334357467598107	1	0	0	0	3	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	1	0	3	0	1	0	3	8	0	0	4	0	0	5	3	0	2	0	0	0	0
C1orf140	1.744345157256	4.88886106186612	8.59751839937763	0.00336621384831063	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0
GTSCR1	-2.49229679772597	3.98334897622234	8.36721328996952	0.00382051024773517	1	0	0	0	0	0	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008758.2	2.59923034409167	4.05240570737701	8.25253493445334	0.00406951317910226	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	2	1	0	0	1	3	0	1	0	0	0	0	1	1	0	0	0	5	15	0	5	1	0
AC009137.1	2.01146386850544	4.58895457030243	8.24301042202617	0.00409092255090008	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC087521.2	1.59306638255046	5.06369268072224	8.20535055761394	0.00417670385807958	1	3	0	0	0	0	1	20	0	0	0	1	0	2	0	3	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	4	0	3	0	0
AC002525.1	2.62104289733645	4.05582934563497	8.10888414729596	0.00440488335520347	1	1	3	0	0	1	0	1	0	0	3	1	0	0	0	0	0	0	1	0	1	0	1	9	2	3	0	0	0	2	1	0	0	4	0	1	18	0	0	1	2
AL360227.1	2.61280597084505	4.05457737784769	8.10862418578613	0.0044055151098648	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	3	0	0	0	0	0	0	0	0
AC147651.3	1.12120076233967	6.04957690914142	8.02805148638796	0.00460583618582112	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	2	1	0	0	0	0	1	2	0	0	0	3
IDI2-AS1	1.40847553852119	7.05847631686697	8.02616562902741	0.0046106343475626	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	1	2	0	1	0	0	0	8	0	0	3	6	0	0	0	1	0
AC091736.1	2.53995597906344	4.04062705961441	8.01286642296315	0.0046446161929401	1	1	1	0	0	0	1	2	5	2	0	0	0	0	2	1	4	0	5	6	4	0	2	3	4	10	7	0	0	1	1	2	1	4	3	6	11	6	6	5	5
CECR9	2.61602649336114	4.05499172616077	7.98553378299336	0.0047152590925654	1	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	4	2	1	0	0	0	0	1	3	1	0	0	0	1	0	1	2	1	8	2	0	0	2
AP001469.1	1.25816656199296	5.68330962146772	7.95472291363563	0.00479620512280994	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	3	1	0	0	0
AL645608.6	-2.32960082693896	3.95934999350857	7.94217924684488	0.00482956389247939	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	1	0
AC090099.4	2.65292778237119	4.06080068257075	7.85460310240568	0.00506914792267258	1	0	0	0	0	0	1	0	1	1	1	0	2	1	0	0	1	0	0	0	3	0	0	3	4	0	1	0	0	0	0	2	1	4	3	2	24	4	0	0	2
AC099521.1	-2.41551309420201	3.96059073072328	7.80901857943837	0.00519861296879106	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	7	0	0	0	1
AC132803.1	2.56285239156892	4.04403550391005	7.774085642424	0.00530010369115488	1	0	13	0	4	0	0	4	1	7	0	3	2	4	0	0	2	0	0	0	0	0	4	0	0	0	1	1	0	0	0	1	0	0	1	1	0	2	1	2	2
AC079062.1	2.48774280787445	4.26586986456289	7.60356993242837	0.0058252847695341	1	6	1	0	1	3	1	4	0	0	0	0	0	0	2	0	2	0	4	1	7	0	6	1	2	3	2	3	0	0	10	4	0	2	1	3	26	2	2	1	4
AC079598.1	2.05930423555629	4.50084414055235	7.52143085781803	0.00609692323304038	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC073342.2	2.48779947939707	4.25237472767815	7.48135111293999	0.00623412741520398	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1
AL157955.1	2.46768923923629	4.02730427680744	7.40159127119002	0.0065166206696772	1	3	0	1	6	0	2	0	3	2	0	0	1	2	2	1	4	4	6	3	9	3	5	2	1	7	2	6	4	7	8	7	4	7	4	2	5	1	1	4	9
AP000911.2	2.46567271286419	4.0273994342769	7.38486591329738	0.00657749734204233	1	2	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002546.1	-2.46260958610593	4.12792668115101	7.37204181078407	0.00662456736952641	1	0	1	0	0	0	2	2	0	0	2	4	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
AC006960.2	1.91360188288623	4.58740805909304	7.32699643371664	0.00679264705154834	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ZMIZ1-AS1	1.06569029972836	6.53842556846492	7.29751833280984	0.00690499173970511	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0
AC092327.2	2.46333746915475	4.02301807387415	7.28341472628172	0.00695941180946748	1	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC126696.3	-2.2771505515849	3.95064140301682	7.27587863626116	0.00698866991101297	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02041	-2.36960029599497	4.19218445393633	7.26543155684769	0.00702943760568426	1	1	0	0	15	1	6	3	1	2	2	2	0	0	2	0	1	4	0	4	6	7	11	2	2	2	3	0	58	27	0	1	6	1	0	11	4	0	0	13	0
AC015819.1	2.10700082155534	4.41132400197006	7.26358206923513	0.00703668014454702	1	0	2	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	1	10	0	1	1	0	0	0	0	6	1	2	0	9	0	0	0	3	1	1	3	0
FLJ42969	2.54470562920317	4.17465620406373	7.25737199858188	0.00706105441948637	1	0	0	0	0	2	0	0	0	0	0	0	0	12	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
MIR7-3HG	2.56196965651117	4.17321853418649	7.23890778078209	0.00713403648891053	1	0	0	0	0	0	0	3	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AP000911.3	-3.42692332596982	4.1360549629577	7.19275770557362	0.00731984000976248	1	6	7	0	2	2	0	6	4	2	1	3	0	1	3	3	3	0	6	8	0	0	3	3	10	9	4	4	9	4	9	6	12	2	5	1	1	1	7	4	8
AP001605.1	2.44632412901855	4.02511257386105	7.18740558557388	0.0073417056792206	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0
AL160408.3	-1.27711144323589	5.30467080957308	7.1489495987996	0.00750079045054308	1	1	0	0	0	2	1	1	1	0	0	1	2	0	2	4	3	0	1	0	1	0	0	5	4	2	1	0	0	1	3	2	1	5	2	0	36	1	1	0	0
AC007598.3	-2.51563134543318	4.05150622291617	7.14198304860628	0.0075299845137768	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC093525.9	2.54344626923952	4.02072079516371	7.11230259662476	0.00765567105766793	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	4	1	0	1	0	2	0	0	2	0	3	5	1	3	2	1	2	0	2	3
SND1-IT1	-1.80576232936027	4.52130808398756	7.10747913268975	0.0076762984624301	1	1	3	0	0	4	5	0	0	3	0	2	1	0	0	9	2	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	1	0	2	0	2	0
AL139042.1	2.54026459864263	4.03231598842307	7.10203365095143	0.00769965420651016	1	0	2	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	5	0	2	0	0	1	1	0	0	0	0	4	8	1	0	0	2	1	1
AC079466.1	2.37865872005534	4.01265289482768	7.04183584076634	0.00796273705259446	1	8	10	0	0	0	3	2	1	5	2	0	0	3	1	5	4	0	3	5	87	0	9	4	3	1	10	7	8	2	0	4	2	1	2	0	1	3	7	11	7
LINC01088	2.4331743064956	4.01904786645844	7.04059007010772	0.00796827749528742	1	3	1	0	1	0	1	6	1	7	2	2	0	0	0	8	2	5	13	7	2	0	4	8	5	0	9	5	2	4	4	4	7	6	1	5	0	0	2	0	37
AC010175.1	1.30443406524855	5.27386699372863	7.01769414775757	0.00807080996600301	1	3	9	1	6	1	3	10	1	3	2	4	0	4	0	0	1	4	0	0	7	0	0	0	0	1	8	0	5	1	1	0	0	3	0	1	0	0	0	1	2
LINC00941	1.63679586927195	4.82006570895637	6.99504166426889	0.00817358061168494	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL606970.2	2.38749328554293	4.01372553018262	6.97826748135	0.00825054427942808	1	2	1	1	1	0	1	2	0	4	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1
AC078777.1	2.33522051222164	4.24198682950234	6.93697498407208	0.00844317829507836	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR7-AS1	1.59044792566735	5.12859167135626	6.90960110731058	0.00857341153858126	1	0	2	1	0	0	0	0	2	0	0	0	1	3	0	4	0	0	1	1	2	2	3	2	4	1	1	1	0	0	1	0	5	4	4	1	5	8	2	1	3
AC091180.4	2.34879162265743	4.23489702041719	6.8993808524449	0.00862256062292934	1	0	0	2	1	0	5	0	2	4	3	2	0	4	6	3	0	0	2	13	5	3	2	1	1	2	3	0	6	3	5	1	1	0	4	5	17	12	3	3	8
AC083949.1	1.60649461418494	4.79082309561172	6.84201113689682	0.00890385424612435	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3	3	6	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0
AC078906.1	-2.47394786949278	4.0608641936103	6.83596087400154	0.00893406222973097	1	1	0	0	0	5	6	0	5	0	1	0	1	1	1	0	0	0	7	7	1	1	4	0	0	3	1	5	2	1	2	1	6	2	2	1	0	4	2	9	2
TCL6	-2.41599333025122	4.04795732853252	6.82329741028135	0.00899762896033638	1	0	0	1	0	0	0	1	1	0	0	1	0	2	0	0	0	0	0	1	0	3	0	0	1	3	0	4	1	1	0	1	0	2	1	0	2	1	0	7	1
AL121985.1	1.2981960761919	5.30348037902135	6.74848624128663	0.00938272564850681	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
AL096701.3	1.51468591104718	4.88599189193084	6.72506746729407	0.00950671346587601	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
EPHA1-AS1	1.96560218804218	4.45467636359565	6.70782364586069	0.00959908072292914	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP003059.1	2.25789400187464	3.99413948136078	6.54383934616808	0.0105247967645899	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Z94057.1	-2.16877533899011	3.93711555803949	6.50086867195822	0.0107821800714051	1	2	1	2	6	3	2	0	1	3	6	0	13	5	9	4	3	0	9	9	5	0	4	4	5	2	5	4	1	4	1	4	4	7	17	9	124	2	6	6	10
AC092140.2	2.16491154125178	4.27670189458839	6.47193932240511	0.010959087972275	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	5	1	0	0	0
AL355377.2	1.91888340685575	4.44288706286108	6.46864899200273	0.0109793966246933	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0
FAM83A-AS1	1.15126328695782	10.1801825355635	6.40383047967119	0.0113874411990212	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00562	1.46406633701556	4.89921372408398	6.40242309053735	0.0113964715973303	1	4	1	0	3	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
POU6F2-AS2	2.33153047887024	4.00227816612902	6.39811195185777	0.0114241794378013	1	0	2	1	0	0	0	0	0	1	0	1	1	0	1	4	4	0	5	1	2	0	1	5	0	6	0	2	2	2	0	4	1	0	5	5	36	3	0	1	0
AL136164.3	1.43008670063057	4.96780743681585	6.37855330334682	0.0115507546728771	1	3	4	5	2	0	0	3	5	0	3	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	2	0	0	0	0	1	0	0	1	0	0	0
AC009704.1	1.41982169935893	4.97518108986042	6.36872612126199	0.01161489447883	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0
AC092839.1	-2.08242873899522	3.93453341677049	6.35746700984585	0.0116888297821085	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	4	0	0	0	0	0	0	9	0	0	0	0
AP000919.2	1.04235681709382	6.29628266988097	6.32414739546477	0.0119104737672031	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0
AC007192.2	1.32334842991605	5.12492061486266	6.3208689015375	0.0119325144283529	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	11	0	0	0	0
AC005740.4	2.06128066586721	4.3217649738975	6.31101779248149	0.0119989938173246	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01132	1.20481528874352	5.43140621183864	6.29055623488719	0.0121382952166589	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LINC01179	2.30538807614586	4.00417794523973	6.28303322482843	0.0121899282090123	1	0	4	0	0	0	0	1	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0
AC137834.2	-1.50807376183778	4.7301638524784	6.24065142965301	0.0124850545058485	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	1	0	2	1	0
PRR31	-2.01553917819195	3.92530818639564	6.23243967492298	0.0125430809225424	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	3
C2orf48	1.47169421424778	4.85005722052789	6.21506425226505	0.012666775496331	1	10	2	0	0	0	1	9	0	0	1	0	2	0	1	0	0	0	0	1	9	0	5	0	5	0	0	29	10	0	2	0	5	2	2	0	1	0	4	2	14
AL355490.1	-1.789703506395	4.43946651170018	6.20014415342565	0.0127739908644601	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	4	0	0	0	0
TMEM75	3.05271833263739	4.05909537540737	6.19285610885882	0.0128267011396402	1	1	0	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	2	1	2	2	0	0	0	0	0	2	1	1	6	0	0	0	3	8	1	1	2	2	0
