genes	logFC	logCPM	LR	PValue	FDR	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	IRI1	IRI2	IRI3	IRI4	IRI5	IRI6	IRI7	IRI8	IRI9	IRI10	IRI11	IRI12	IRI13	IRI14	IRI15	IRI16	IRI17	IRI18	IRI19	IRI20	IRI21	IRI22	IRI23
TNC	1.19831225292557	4.15771552269845	10.6781068787836	0.00108410951871813	0.2858155135864	0	8	0	6	0	15	26	7	0	6	11	17	0	16	5	4	0	18	3	14	0	8	10	2	5	13	8	6	11	3	13	224	3	15	7	5	13	19	18	5
KLK13	2.36409149442205	-3.27075527791793	10.6551078284369	0.00109767344319554	0.2858155135864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0
CLDN22	2.13233004154894	-2.74665668537584	10.6441745408425	0.00110418153703717	0.2858155135864	9	1	2	3	4	2	0	2	4	3	4	5	0	1	7	2	0	5	12	4	2	5	8	3	3	5	2	0	2	3	9	4	4	12	9	15	8	6	8	3
POU4F1	2.69735103080236	-3.22015021849175	10.6409558709637	0.00110610489326277	0.2858155135864	1	0	0	1	0	2	2	1	0	0	0	0	1	0	1	0	0	2	0	1	0	0	2	1	0	6	1	0	11	1	2	0	1	2	0	0	6	1	2	1
CCR5	1.1748610992935	0.440427533078858	10.4993980309101	0.00119413441402615	0.2858155135864	2	44	50	13	13	11	12	8	160	20	7	7	14	28	4	5	4	8	0	9	1	4	11	16	8	12	15	16	6	18	47	10	30	1	10	1	7	15	9	9
IFI27	1.68510514729533	2.89691260275996	10.4444547453188	0.00123018216031083	0.2858155135864	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	1	0	0	0	0	3	1	0	0	0	4	0	0	1	0	0	0
IL4I1	1.09801344308552	-0.216043304345841	10.3745318092393	0.00127765543198223	0.2858155135864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0
GCNT4	1.15762692391392	1.74300368477717	10.1899600974752	0.00141207370839302	0.2858155135864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0
CEACAM20	1.74750540172273	-2.41046643150274	10.1307364963976	0.00145817132067044	0.2858155135864	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VDR	1.05385903565984	1.27727426344593	10.0246227887367	0.00154461306129993	0.2858155135864	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRCT1	2.49318071458812	-3.25163087224128	9.94669435571523	0.0016113848863066	0.2858155135864	1	110	156	11	3	19	6	13	236	26	14	15	27	22	11	11	12	11	10	26	3	9	15	20	49	34	12	83	6	20	107	4	17	6	3	8	6	27	8	20
PTGER3	1.9745796053262	-1.00609244430407	9.9454531635252	0.00161247171424893	0.2858155135864	0	1	0	1	1	1	0	0	1	2	2	0	5	0	0	0	0	0	6	0	4	0	1	0	3	0	4	0	0	2	1	4	0	5	2	4	1	3	4	2
HRASLS2	-1.99306873224972	-0.00441629226163241	9.93300992002914	0.00162340854314568	0.2858155135864	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	1	0	0	0	0	4	0
SIGLEC5	1.33740313667092	-0.208436471694575	9.86529601977482	0.0016842557561401	0.2858155135864	0	0	0	3	1	0	3	0	0	0	1	0	0	2	6	0	0	3	4	6	0	4	1	0	3	0	2	4	1	0	0	8	0	11	0	5	2	2	6	0
GPR85	1.18779088278153	-0.0130270563013494	9.84204520691315	0.0017056774997365	0.2858155135864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0
GFPT2	1.10934922985275	2.21450271112967	9.714696518064	0.0018280026363766	0.2858155135864	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	1	0	2	2	2	0	0	1	0
MEDAG	1.90063002190979	0.816001151937421	9.7127167400448	0.00182997292341592	0.2858155135864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0
AGBL4	1.88673301213804	-1.35351519494268	9.70679922029909	0.00183587491545595	0.2858155135864	0	0	0	0	0	0	0	0	0	1	1	5	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
MLANA	2.54782320922044	-3.12591550379775	9.68921732289411	0.00185352474537753	0.2858155135864	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDLRAD1	2.58174904168035	-3.23583192153765	9.6860684102334	0.00185670393737461	0.2858155135864	2	1	0	0	0	0	0	0	1	3	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRIP3	1.43377317081446	-0.15013637932085	9.61676309254422	0.00192809268158941	0.2858155135864	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	3	0	1	2	1	3	0	1	1	0	1	0	1	2	1	0	0	0	2
SLC22A12	-2.33007480840186	-2.85786277673829	9.58809626437628	0.00195842898387544	0.2858155135864	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN1A	2.5482955001546	-3.2474819413924	9.56196668660585	0.00198650170560072	0.2858155135864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PRAMEF14	-2.75330321981281	-3.24805622540147	9.55031618849824	0.00199914977647189	0.2858155135864	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CKM	2.16101111122376	-3.30216689234571	9.51871610446628	0.00203386825726399	0.2858155135864	11	68	80	42	92	81	60	345	11	141	8	227	71	131	401	151	1	340	99	53	181	305	139	14	228	22	25	70	16	107	114	435	122	783	394	112	405	30	1235	0
C8orf89	-2.49571551309879	-3.30421621315141	9.48447416355423	0.00207217997354821	0.2858155135864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	2
RPL3L	2.55086155170647	-3.23870945832442	9.46004101848962	0.00209996376107552	0.2858155135864	2	2	1	29	6	6	7	26	23	32	8	59	10	31	40	17	8	109	61	13	20	19	6	2	28	2	31	3	9	20	22	124	19	45	28	24	57	13	155	1
MGAM	1.67486806417216	2.33655363115169	9.35193119119462	0.0022275062976139	0.2858155135864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ANKRD33	1.86389380908418	-0.550371972324425	9.28962179596829	0.00230455735352516	0.2858155135864	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXCR6	1.12871425813359	-0.754480928918919	9.20563778114435	0.00241270924381336	0.2858155135864	0	0	2	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD274	1.24503894439661	3.87817900736186	9.19989538424218	0.0024202895872698	0.2858155135864	7	43	5	24	39	4	73	7	340	22	63	12	30	16	23	2	14	26	2	29	0	33	22	15	19	7	1	4	19	28	0	0	9	3	10	17	1	29	5	117
SPINK1	-1.42265777870578	6.96177882743966	9.07851114303593	0.00258630525102873	0.2858155135864	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNC45B	2.05637278143318	-3.31702997608127	9.00339634945844	0.00269478342511185	0.2858155135864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
LRP2	1.10588528588489	0.500220432859975	8.97658359017097	0.00273461473144222	0.2858155135864	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	2	1	4	2	8	3	0	8	0	0	2	3	0	0	0	5	1	0	1
GDAP1L1	-2.56972163776354	-3.32246300734982	8.9737444945731	0.00273886715799856	0.2858155135864	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	2	1	1	0	0	0	2	0
AL021997.3	1.75676206878218	-2.83186644347987	8.9408178244058	0.00278867836538228	0.2858155135864	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	3	0	1	0	1	0	3	0	7	0	0	0	2	1	3	0	3	1	0	0	0	0	0
SH3D21	1.10138200699461	2.23368113253271	8.93394483817281	0.00279919127589725	0.2858155135864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ITGAX	1.11997595110885	5.14455654623389	8.9313415306959	0.00280318379272331	0.2858155135864	1	0	2	3	4	0	0	7	4	4	0	5	7	3	2	1	4	11	5	11	0	1	2	6	0	7	4	2	1	7	4	32	3	16	9	7	1	9	7	1
KCNN4	1.23349434850302	0.06681959808772	8.87137165292818	0.00289677405109761	0.2858155135864	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STRIP2	1.00263460163352	0.173745297663022	8.78428741501335	0.00303836230493317	0.2858155135864	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM129A	1.08972611707097	3.47572074152139	8.7384329078302	0.00311572172376562	0.2858155135864	10	14	12	14	3	34	32	13	91	10	25	35	14	25	25	7	7	12	22	14	0	13	25	14	470	28	44	4	17	50	8	19	34	7	31	20	23	28	22	42
TAS1R1	2.24361471975035	-2.98169786754361	8.69573101160937	0.00318956174834396	0.2858155135864	13	3	1	0	4	2	5	9	2	6	11	0	8	4	2	2	15	0	1	3	0	1	1	1	5	7	0	11	0	5	0	2	0	4	1	0	3	8	5	2
ACTG2	1.56158162442745	0.78488064382203	8.67794240282758	0.00322084417357992	0.2858155135864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0
TSGA10IP	-2.44457153320279	-3.3381677569447	8.60708871671017	0.00334857122887135	0.2858155135864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
SAGE1	-2.14112373569767	-3.33889657006192	8.59950729710357	0.00336253960826496	0.2858155135864	0	2	0	0	0	0	5	0	2	2	2	0	1	1	0	4	0	0	1	30	0	4	2	3	0	8	4	1	0	1	0	3	2	3	0	3	6	2	0	2
WT1	2.62231042956507	-1.70964427871879	8.58567245672711	0.00338818244663755	0.2858155135864	3	3	2	1	3	0	1	0	5	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	2	0	2	0	0	0	0	0	0	1	0	0	1	0	2
SPRED3	1.30789763726957	0.0195180352388916	8.56854937063324	0.0034201955157777	0.2858155135864	0	0	0	1	5	1	1	7	0	3	0	11	0	9	18	2	4	25	25	5	8	6	0	0	5	1	0	7	0	7	22	61	4	43	16	2	27	0	49	0
C21orf62	-1.92426697018308	-3.36701493826468	8.5644044147259	0.00342799098271825	0.2858155135864	1	65	153	10	5	8	1	3	250	16	18	13	23	26	6	11	8	10	8	10	0	4	28	12	26	38	6	20	6	5	116	0	52	7	5	25	10	11	3	26
PNOC	-1.68913441184766	-2.97079820104561	8.55281211571027	0.00344988879205539	0.2858155135864	21	53	153	14	3	27	15	11	318	24	22	30	44	25	28	20	15	5	15	48	6	24	35	25	39	31	9	57	11	6	80	7	17	23	18	21	18	23	19	32
CDH15	2.00351460629575	0.71541832838523	8.54069407485349	0.0034729317853045	0.2858155135864	7	31	51	3	4	4	1	0	137	2	6	13	11	10	0	13	4	12	0	3	0	1	9	8	20	9	6	15	0	0	33	0	5	2	0	6	4	7	4	7
HRH2	1.11498933451455	0.585150508442487	8.53924628268207	0.00347569527062942	0.2858155135864	6	1	4	6	14	9	17	10	40	13	17	70	36	25	11	24	0	119	44	10	1	31	17	15	25	16	14	26	11	35	25	91	28	73	37	37	34	16	127	23
HIST1H1T	2.4564862634781	-3.25398860597678	8.464209421871	0.00362202645844688	0.2858155135864	32	64	23	133	168	84	84	409	55	461	56	536	116	459	378	269	27	946	294	389	177	328	87	30	436	122	103	46	52	230	728	1044	313	1064	1151	258	431	262	1104	60
ZSCAN23	1.76597503195691	-2.53279297950817	8.43846379080107	0.00367366456572597	0.2858155135864	0	40	112	7	6	11	0	6	271	11	4	5	22	7	0	7	7	8	0	8	0	1	12	11	18	18	3	15	0	6	65	2	5	0	5	8	4	16	13	11
FFAR3	1.26149657096513	-1.88410373233155	8.43626985105998	0.00367809943065521	0.2858155135864	7	38	3	49	5	3	7	1	9	27	4	4	13	9	9	3	13	4	7	9	7	18	145	0	31	2	17	29	4	8	3	8	712	2	135	6	3	3	1	12
FOLR1	-1.91552747153332	-2.96604070553376	8.43271795699375	0.00368529083236587	0.2858155135864	8	29	47	1	3	5	2	11	106	8	2	13	9	8	5	8	28	8	8	10	1	4	0	7	16	9	1	30	0	12	35	13	10	16	1	13	3	12	2	7
ATP6V1FNB	1.01085183819324	-1.7553030552678	8.38600749054647	0.00378120559367344	0.2858155135864	4	0	0	0	0	2	0	0	1	0	2	0	1	0	5	0	0	5	7	1	1	5	1	5	3	11	3	3	0	0	0	7	6	1	3	0	1	4	2	2
RIBC1	-1.00078506049913	-1.46557051005697	8.24664881509792	0.00408273060807586	0.289506999670416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP10	1.88005241503633	-0.453953429390098	8.23072220610049	0.00411871366621191	0.289506999670416	9	3	2	2	2	3	0	4	2	2	0	2	48	1	0	0	0	30	13	1	6	14	4	1	1	4	3	3	0	0	19	28	6	5	2	1	7	4	88	1
KIF5C	2.15378400188206	0.519321984812626	8.1644562435439	0.00427192793619171	0.29273286903837	0	7	18	0	3	3	1	8	30	1	3	3	2	0	0	2	2	4	1	2	0	2	0	3	3	6	1	9	1	2	9	0	1	0	2	1	1	4	0	2
MAGEL2	1.63118274208751	-2.73232541864409	8.13197825602285	0.00434912684129506	0.29273286903837	5	112	148	8	6	17	16	10	275	18	20	27	46	54	3	33	8	13	4	23	4	18	34	32	43	44	18	42	0	10	70	8	48	21	22	26	9	28	10	19
PPP4R4	1.09403121066176	-0.450531664956084	8.12814638137005	0.00435832824122216	0.29273286903837	2	0	0	0	1	1	0	5	2	1	3	6	1	1	0	0	0	6	9	15	0	4	1	1	1	12	0	3	5	0	1	2	2	9	5	3	4	7	5	4
HECW1	1.88293802181607	-2.91049304964069	8.10436115066641	0.00441588824578928	0.29273286903837	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TROAP	-1.54636530848411	-0.280825683176121	8.09500902402772	0.0044387317444377	0.29273286903837	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM81B	-2.2848183333177	-3.35530093297849	8.0313291898905	0.00459750886507631	0.29373570767168	2	0	0	3	4	10	1	14	13	3	5	3	30	16	2	12	0	41	15	16	12	16	11	0	16	5	5	4	5	5	38	6	1	19	9	4	13	8	27	4
HKDC1	-1.45215077462025	1.92364654583204	8.02935335077799	0.00460252683686184	0.29373570767168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	3	0	0	0	1	1
DHRS9	1.16307371662376	0.921585885320613	8.00091578342173	0.00467536977996728	0.29373570767168	0	1	0	1	8	0	1	7	2	1	4	0	1	3	2	1	0	34	3	2	0	2	1	5	10	0	5	0	10	0	3	6	2	9	16	5	1	1	5	0
PAX2	3.46143087820895	-3.01561224708408	7.99555751757559	0.00468922592259904	0.29373570767168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
