miRNAid	miRNAname	geneID	geneName
MIMAT0000082	hsa-miR-26a-5p	ENSG00000168280	KIF5C
MIMAT0000082	hsa-miR-26a-5p	ENSG00000114529	C3orf52
MIMAT0000082	hsa-miR-26a-5p	ENSG00000163661	PTX3
MIMAT0000082	hsa-miR-26a-5p	ENSG00000138650	PCDH10
MIMAT0000082	hsa-miR-26a-5p	ENSG00000164171	ITGA2
MIMAT0000082	hsa-miR-26a-5p	ENSG00000187772	LIN28B
MIMAT0000082	hsa-miR-26a-5p	ENSG00000154438	ASZ1
MIMAT0000082	hsa-miR-26a-5p	ENSG00000128578	STRIP2
MIMAT0000082	hsa-miR-26a-5p	ENSG00000137558	PI15
MIMAT0000082	hsa-miR-26a-5p	ENSG00000123119	NECAB1
MIMAT0000082	hsa-miR-26a-5p	ENSG00000148344	PTGES
MIMAT0000091	hsa-miR-33a-5p	ENSG00000135842	FAM129A
MIMAT0000091	hsa-miR-33a-5p	ENSG00000120949	TNFRSF8
MIMAT0000091	hsa-miR-33a-5p	ENSG00000111424	VDR
MIMAT0000091	hsa-miR-33a-5p	ENSG00000152192	POU4F1
MIMAT0000091	hsa-miR-33a-5p	ENSG00000211448	DIO2
MIMAT0000091	hsa-miR-33a-5p	ENSG00000119698	PPP4R4
MIMAT0000091	hsa-miR-33a-5p	ENSG00000103888	CEMIP
MIMAT0000091	hsa-miR-33a-5p	ENSG00000140563	MCTP2
MIMAT0000091	hsa-miR-33a-5p	ENSG00000174564	IL20RB
MIMAT0000091	hsa-miR-33a-5p	ENSG00000152784	PRDM8
MIMAT0000091	hsa-miR-33a-5p	ENSG00000138675	FGF5
MIMAT0000091	hsa-miR-33a-5p	ENSG00000138650	PCDH10
MIMAT0000091	hsa-miR-33a-5p	ENSG00000145864	GABRB2
MIMAT0000091	hsa-miR-33a-5p	ENSG00000164171	ITGA2
MIMAT0000091	hsa-miR-33a-5p	ENSG00000187772	LIN28B
MIMAT0000091	hsa-miR-33a-5p	ENSG00000164604	GPR85
MIMAT0000091	hsa-miR-33a-5p	ENSG00000164778	EN2
MIMAT0000091	hsa-miR-33a-5p	ENSG00000123119	NECAB1
MIMAT0000091	hsa-miR-33a-5p	ENSG00000148344	PTGES
MIMAT0000091	hsa-miR-33a-5p	ENSG00000120217	CD274
MIMAT0018088	hsa-miR-3666	ENSG00000135842	FAM129A
MIMAT0018088	hsa-miR-3666	ENSG00000150275	PCDH15
MIMAT0018088	hsa-miR-3666	ENSG00000152192	POU4F1
MIMAT0018088	hsa-miR-3666	ENSG00000154118	JPH3
MIMAT0018088	hsa-miR-3666	ENSG00000081479	LRP2
MIMAT0018088	hsa-miR-3666	ENSG00000168280	KIF5C
MIMAT0018088	hsa-miR-3666	ENSG00000138675	FGF5
MIMAT0018088	hsa-miR-3666	ENSG00000138650	PCDH10
MIMAT0018088	hsa-miR-3666	ENSG00000249853	HS3ST5
MIMAT0027433	hsa-miR-6766-3p	ENSG00000075891	PAX2
MIMAT0027433	hsa-miR-6766-3p	ENSG00000074211	PPP2R2C
MIMAT0004921	hsa-miR-889-3p	ENSG00000134376	CRB1
MIMAT0004921	hsa-miR-889-3p	ENSG00000143469	SYT14
MIMAT0004921	hsa-miR-889-3p	ENSG00000119698	PPP4R4
MIMAT0004921	hsa-miR-889-3p	ENSG00000198535	C2CD4A
MIMAT0004921	hsa-miR-889-3p	ENSG00000171049	FPR2
MIMAT0004921	hsa-miR-889-3p	ENSG00000119771	KLHL29
MIMAT0004921	hsa-miR-889-3p	ENSG00000114529	C3orf52
MIMAT0004921	hsa-miR-889-3p	ENSG00000138675	FGF5
MIMAT0004921	hsa-miR-889-3p	ENSG00000138650	PCDH10
MIMAT0004921	hsa-miR-889-3p	ENSG00000145864	GABRB2
MIMAT0004921	hsa-miR-889-3p	ENSG00000164171	ITGA2
MIMAT0004921	hsa-miR-889-3p	ENSG00000187772	LIN28B
MIMAT0004921	hsa-miR-889-3p	ENSG00000137558	PI15
MIMAT0004921	hsa-miR-889-3p	ENSG00000123119	NECAB1
MIMAT0004921	hsa-miR-889-3p	ENSG00000041982	TNC
