N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	IRI1	IRI2	IRI3	IRI4	IRI5	IRI6	IRI7	IRI8	IRI9	IRI10	IRI11	IRI12	IRI13	IRI14	IRI15	IRI16	IRI17	IRI18	IRI19	IRI20	IRI21	IRI22	IRI23	genes
MIR1208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1208
MIR1224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1224
MIR1225	0.995734641218836	0.452133480672783	0	0	0	0	0	0	0	0	0	1.38848128285229	0	0	0	0	0	0	0	0	0	0	0	0	0.53767914871067	0	0	0	0	0	0.508714544681965	0	0	0	0	0.654342762000298	0	0	0.472359552495818	0	hsa-mir-1225
MIR1226	0	0	0	0	0	0.479367311847132	0	0	0.601116206673009	1.09026376874012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1226
MIR1227	0	0.462409241597165	0	0	0	0	0	0	0	0	0	0	0	0	0.433788219739636	0	0	0	1.44568843471227	0	0	0.865565893512974	0	0	1.09979825872637	0	0.561012000661563	0	1.06414575701484	0	0	0	0.451043606112827	0.417311641282813	0	0	0	0	0.966189993741446	0	hsa-mir-1227
MIR1228	0	0	0	0	0	0	0	0	0	0	0.618934602974351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1228
MIR1229	1.9481764719499	0	0	1.93221978579612	0	0	2.26669215335324	1.20692625917355	1.96016154349894	0.592534656923977	0.654814869813443	0	0	0	0	0.69925895158532	0	1.14830588314435	0.614592184805215	0	0	3.31173037518007	0	0	0	0	0	0	0	0	0	0	0.575244019390272	0	0.573896777177567	0	0.632362051086472	0.67535789605679	0	0.572828096523409	hsa-mir-1229
MIR1231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1231
MIR1233-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1233
MIR1233-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1233-2
MIR1237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.897731549438762	0	0	0	0	0	0	0	0	0	hsa-mir-1237
MIR1238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1130639608058	0	0	0	0	0	0	0	0	0	0	0	0.476206489880906	hsa-mir-1238
MIR124-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-124a-2|hsa-mir-124-2
MIR124-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-124a-3|hsa-mir-124-3
MIR1245A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1245
MIR1249	0.800143908122279	2.90657237575361	0	0.396795134583133	5.35623130897763	0	1.39644427304798	2.23065835400826	0.40253317411139	2.19026203541542	0	2.23148777601261	1.29323903323989	0.347631560315781	2.045001607344	1.29238038373358	0	0.707438445865718	3.78632685281784	0	0	2.04026246328058	2.99808319349874	4.57953779714194	3.88857241478252	1.5895917297688	1.32238543013083	0	1.2541717850532	1.37161110762935	1.6351538936206	1.12139633233065	1.77195702401468	1.96732630890469	0.707122814736645	3.68067803625168	4.28538211405922	0	1.13872392119528	0	hsa-mir-1249
MIR1250	0	1.44042524816108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.699559976285225	hsa-mir-1250
MIR1251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1251
MIR1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1252
MIR1253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1253
MIR1254-1	0.923877502161806	0.419505291345882	0	2.29077603470675	0.475731884699044	0.741289657495564	0	0.858535174051291	0.464780572169852	0.421493725028396	0.93159228901294	2.2544928046313	0.373306112687802	0.802778036193142	0.787079656434803	0.497411006797805	0	0	1.74873652583752	1.17705026887554	0	0	1.97811674622597	0	0.498877560659384	2.75310732578513	1.01791868161273	0	0	0.395928979521875	2.83201911472434	2.58961627259862	0.409194199360091	0.757184008925515	0.408235851806723	1.21424430061911	2.2491227590189	0	1.31481524921516	1.62990262515939	NA
MIR1254-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
MIR1255A	0	1.44042524816108	0	0.78656734643028	0	0	0	0	0.398970933632528	0	0	0	0	0.689110349652521	1.35126949865798	1.28094338918727	0	0	0	0	2.44550230216836	0	0	0	0	0	0	0	0	0	0.810341752590741	0	0	0	0	0	0	0	0	0	hsa-mir-1255a
MIR1255B2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1255b-2
MIR1256	0	0	0	0	0	0	0	0	0	0.343570515359281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1256
MIR1258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1258
MIR125A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-125a
MIR125B1	0	0	0	0	0	1.22565505870005	0	0	0	0	0	0.355009418911097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-125b-1
MIR125B2	0	0	0	0	0.518494301301205	0	0.585774376709264	0	0.50655860112894	0	1.52299638259981	0.351020549035692	0	0	0.428914194798741	0.54212210853244	0	1.33538942590383	0	0.427617513411711	0	0.42792021701765	1.07796249653887	1.1526027714155	0	0	1.66412548510846	0	0	0.8630362025533	1.02886087688487	0.940796923003994	0	0	0	0	0	0	0	0	hsa-mir-125b-2
MIR126	1.05430726717289	1.43618870331355	0	3.65985159427266	0.542894033127144	0.422971157512175	0	0.979740139799708	1.59118995884032	2.40499360751497	0.531555600201501	1.47015665243184	2.55604891275648	0.916111406008645	0	2.27053494867704	0	8.85546478118969	2.49452122067999	0	0	2.24028819497475	0	3.01710725458763	4.55445867143156	0.523630216865015	1.16162484842865	0.543437110275775	0	0.90364967090875	5.38638929663257	0	1.40088837663278	5.18448344934882	1.86347659412951	2.07850053811859	2.56664597205686	6.57878044629438	4.00116326819987	2.32500815647736	hsa-mir-126
MIR1260A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1260
MIR1260B	1.24466830152354	0	0	0	0	0	0	0	0	0.378563808590319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.340031707711921	0	0.545285635000248	0	0.862957311628121	0	0	hsa-mir-1260b
MIR1261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1261
MIR1262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.12992220260646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1262
MIR1263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1263
MIR1264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1264
MIR1265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1265
MIR1266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.336796094634003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1266
MIR1267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1267
MIR1268A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1268
MIR1268B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1268b
MIR1269A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1269
MIR1269B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1269b
MIR127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.377166333997097	0	0	0	0	0	0	0	0	hsa-mir-127
MIR1270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.442450896781777	0	0	0	0	0	0	hsa-mir-1270|hsa-mir-1270-2
MIR1271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.507360250290309	0	0	0	hsa-mir-1271
MIR1272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1272
MIR1273A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
MIR1273C	0	0	0	0	0	0	0	0.540765661577761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1273c
MIR1273D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
MIR1273E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
MIR1273F	0	0	0	0.448899546195059	0	0.72631410885929	0	0	0	0.412978700280348	0	0.315563927920975	0	0	0	0	1.3897365152471	0	0	0.768847650376612	0	0.384695952672433	0	0	0	0	0.997354667842779	0	0	0	0	0	0	0.370943681140278	1.59995465152534	0	0	0	0	0	NA
MIR1273G	0.448080588548476	0	0	0	0	0	0	0	1.35251146501427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.936448266173059	0	0	0	0	0	0	0	0	0	0	0	NA
MIR1273H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.365576385789309	0	0	0	0	0	0	0	0	0	0	0	0	0.360909164428256	0	0	0	0	0	0	0	0	hsa-mir-1273h
MIR1275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1275
MIR1276	0	0	0	1.07086879694725	0	0	0	0.50167416796973	0	0	1.08872833776211	0	0.872546817607633	0	1.37976012061764	0	0	0	0.510926033151323	3.20970735970477	0	0.458854208609287	1.15588749628867	0.617961726843249	0	0	0	0	0	0.46271218088701	0	0.504403169562382	0	0.442450896781777	0	0	1.05139714517992	1.12288421272093	0.512197105115947	0.476206489880906	hsa-mir-1276
MIR1277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1277
MIR1278	0	1.00474106816174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1278
MIR128-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-128a|hsa-mir-128-1|mir-128-1
MIR128-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-128b|hsa-mir-128-2
MIR1282	35.0478876191382	25.3821468852939	32.2426412332344	15.4003656194642	23.3014419168928	22.0698811890016	26.3250484740926	21.4378783065085	31.692512876572	17.0016379778781	16.1045558080851	16.393702275261	40.8714751891259	18.5036363193825	22.2992914543385	18.1530393173932	73.5597169357523	22.357856625776	15.5351866119576	22.2318768606425	13.6802851556943	18.099754129697	16.6230355283098	24.8836667630841	26.8307218762552	18.0678347106394	18.0856938035054	15.0924860824114	17.6163535220674	8.74571834963666	14.9592296802519	10.3627383845737	14.9335625627851	17.4527165621644	12.5461790495848	283.958844143298	22.0324956215178	15.6870259816755	25.2548671631428	16.8275342810391	hsa-mir-1282
MIR1283-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1283-1
MIR1283-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1283-2
MIR1284	0	0	0	0.370342125610924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.918085610822188	0	0	0	0	0	0	hsa-mir-1284
MIR1285-1	1.06685854416304	1.93771491716907	0	0	0	0	0	0.495701856446281	0	0.973449793517963	0	0.371914629335435	2.15539838873314	0.463508747087707	0.908889603263998	0	0	0.94325126115429	0	0	0	1.81356663402718	0	0	0	0	0	0	0	0.914407405086235	0	0.99679673984947	0	0	0	0	1.0388805124992	0	0	0	hsa-mir-1285-1
MIR1285-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.505779186744617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1285-2
MIR1286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.924158978882697	0	0	0	0	0	0	0	0	0	0	0	1.06109637081129	0	0	0	0	hsa-mir-1286
MIR1288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1288
MIR1289-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1289-1
MIR1289-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1289-2
MIR129-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-129-1
MIR129-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-129-2
MIR1290	0	0	0	0	0	0	0	0	0	0	1.73777792373568	0	0	0	0	0	0	0	0	0.487922547354389	0	0.488267939930395	0.614991424307433	0	0	0	0	0	0	0	0	0	0	0	0.507677918272463	0	0	0	0.54503025287979	1.52019764077366	hsa-mir-1290
MIR1291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.681667202447999	0	0	0	0	0	0	0	0	0	0	0	0	0.412429949762865	0	0.342902776907338	0	0	0	0	0	0	0	0	0	0	hsa-mir-1291
MIR1293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1293
MIR1294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1294
MIR1295A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74545377949401	0.55231622183502	0	0	0	hsa-mir-1295
MIR1296	0	0	0	0	0	0	0	0	0	0	0.403412732295782	0	0	0	0	0.861586922489056	0	0	0	0	0	0	0	0	0	0	0.440795143376943	0	0	0	0	0	0	0.655775436301563	0	0	0	0	0	0	hsa-mir-1296
MIR1298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1298
MIR1299	0	0	0	0	0	0	0	0	1.08635459037291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1299
MIR1301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02013123164029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1301
MIR1302-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.498492445686459	0	0	0	0	0.275977531265006	0	0	0	0	0	0	0	0	0	0.303372920823752	0	0	0	0	0	0	0	0.286414048261704	hsa-mir-1302-3
MIR1302-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1302-4
MIR1302-5	0	0	0	0	0	0.239683655923566	0	0	0	0.545131884370059	0	0	0	0	0	0	0	0	1.1308496200416	0	0	0	0	0	0.322607489226402	0	0	0	0	0	0	0	0.529224497839051	0	0	0	0	0.93199389655837	0	0.263500924400768	hsa-mir-1302-5
MIR1302-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1302-6
MIR1302-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1302-7
MIR1302-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1302-8
MIR1303	0	0	0	1.55026936302247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.442534403414445	0	0	0	0.596404922418485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1303
MIR1305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-1305
MIR130A	0	0	0	0	0	0	0	0	0	0	0	0.702041098071383	0	0	0	0	0	0.445129808634609	0	0	0	0.42792021701765	0	0	0.543720487460228	0	0	0	0	0	0	0	0	0	0	0	0	0	0.477666963198018	0	hsa-mir-130a
MIR132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.507829933940492	0.479120033504557	0	0	0	0	0	0	0	0	0	0	0	0	0.461383117108104	0.841828905438092	0	hsa-mir-132
